,online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
0,1,1,4.1,775,27,2091,800.0,8778,0,1
1,1,0,4.1,787,27,922,800.0,8778,0,1
2,1,0,3.8,918,22,743,800.0,8778,0,1
3,0,0,3.7,88,78,2469,300.0,8778,0,1
4,0,0,3.8,166,27,2119,600.0,8778,0,1
5,1,0,3.8,286,27,1761,600.0,8778,0,1
6,0,0,3.6,8,27,2139,800.0,8778,0,1
7,1,1,4.6,2556,29,2246,600.0,8778,1,1
8,1,0,4.0,324,19,719,700.0,8778,1,1
9,1,0,4.2,504,19,744,550.0,8778,1,1
10,1,0,4.1,402,19,557,500.0,8778,1,1
11,1,1,4.2,150,19,719,600.0,8778,1,1
12,1,1,4.2,164,19,615,500.0,8778,1,1
13,0,0,4.0,424,19,622,450.0,8778,1,1
14,1,0,3.8,918,22,743,800.0,8778,1,1
15,1,0,3.8,90,19,557,650.0,8778,1,1
16,1,0,3.9,133,19,692,800.0,8778,1,1
17,1,0,3.8,144,19,817,700.0,8778,1,1
18,0,0,3.9,93,19,713,300.0,8778,1,1
19,1,0,3.1,13,19,615,400.0,8778,1,1
20,1,0,3.0,62,19,700,400.0,8778,1,1
21,1,0,3.7,180,19,759,500.0,8778,1,1
22,0,0,3.6,28,19,685,900.0,8778,1,1
23,1,0,3.6,62,81,1491,600.0,8778,1,1
24,0,0,3.7,31,19,557,300.0,8778,1,1
25,0,0,3.2,11,19,578,600.0,8778,1,1
26,1,0,3.8,75,26,771,200.0,8778,1,1
27,0,0,3.3,4,19,686,500.0,8778,1,1
28,0,0,3.3,23,19,685,550.0,8778,1,1
29,0,0,3.8,148,29,1830,550.0,8778,1,1
30,1,0,4.0,219,19,712,600.0,8778,1,1
31,1,0,2.8,506,78,2021,500.0,8778,2,1
32,1,0,3.9,35,39,263,500.0,2792,2,1
33,1,0,3.9,172,39,2236,750.0,8778,2,1
34,1,0,4.2,415,78,1817,500.0,2907,2,1
35,1,0,3.9,230,39,388,650.0,8778,2,1
36,1,0,2.8,91,78,1888,400.0,8778,2,1
37,1,0,4.2,1647,27,956,600.0,8778,2,1
38,1,0,4.4,4884,27,2113,750.0,8778,2,1
39,1,0,4.0,17,78,2381,150.0,878,2,1
40,1,0,3.8,133,78,2556,200.0,8778,2,1
41,0,0,3.9,28,65,2381,300.0,8778,2,1
42,1,0,3.9,286,78,535,500.0,8778,2,1
43,1,0,3.9,540,78,2252,800.0,8778,2,1
44,1,1,4.6,2556,29,2246,600.0,8778,2,1
45,0,0,3.8,36,39,1996,400.0,8778,2,1
46,1,0,3.6,244,78,1834,300.0,271,2,1
47,1,0,4.0,804,27,1866,450.0,8188,2,1
48,1,0,3.7,679,27,950,850.0,8778,2,1
49,1,0,3.1,245,78,1923,300.0,8143,2,1
50,0,0,3.7,21,78,1761,450.0,8778,2,1
51,1,0,4.1,28,78,1339,150.0,8637,2,1
52,0,0,4.3,345,40,1449,400.0,8778,2,1
53,1,0,4.0,618,27,472,750.0,8778,2,1
54,0,0,4.0,1047,78,1486,450.0,8778,2,1
55,1,0,3.9,627,39,1400,450.0,18,2,1
56,1,0,3.8,104,78,429,300.0,8778,2,1
57,1,1,4.2,354,27,218,800.0,8778,2,1
58,0,0,3.6,55,78,1238,200.0,8778,2,1
59,1,0,3.7,17,40,1159,400.0,8778,2,1
60,0,0,4.2,244,27,1507,800.0,8778,2,1
61,1,1,3.6,163,27,1387,800.0,8778,2,1
62,1,0,3.8,58,78,792,150.0,8778,2,1
63,0,1,4.0,808,27,1834,850.0,8778,2,1
64,0,0,3.7,78,3,254,150.0,8778,2,1
65,1,0,4.1,1720,78,2055,400.0,8778,2,1
66,1,0,3.6,34,78,2381,100.0,7682,2,1
67,0,0,4.1,868,73,1074,1200.0,8778,2,1
68,0,0,3.8,39,0,263,300.0,8778,2,1
69,1,0,3.2,71,78,536,600.0,8778,2,1
70,1,0,3.6,6,92,1502,500.0,8778,2,1
71,0,0,4.1,520,78,414,300.0,8778,2,1
72,0,0,2.9,84,39,824,700.0,8778,2,1
73,0,0,3.6,299,78,1324,300.0,8778,2,1
74,1,0,4.1,558,78,2381,150.0,882,2,1
75,1,0,3.6,28,78,502,300.0,8778,2,1
76,0,0,3.7,22,78,1215,500.0,8778,2,1
77,0,0,3.8,39,78,2421,350.0,8778,2,1
78,1,0,3.8,153,49,2368,500.0,8778,2,1
79,1,0,4.2,146,14,341,400.0,8778,2,1
80,0,0,3.5,14,88,1699,200.0,8778,2,1
81,0,0,3.8,42,27,1834,700.0,8778,2,1
82,0,0,3.700448817952717,0,78,2410,100.0,8778,2,1
83,0,0,4.0,66,0,263,300.0,8778,2,1
84,1,0,4.4,4401,27,470,600.0,8778,2,1
85,0,0,3.5,31,78,1761,200.0,8778,2,1
86,0,0,3.5,7,40,1153,500.0,8778,2,1
87,0,0,3.7,21,78,388,250.0,8778,2,1
88,0,0,3.700448817952717,0,39,263,500.0,8778,2,1
89,0,0,3.700448817952717,0,92,2381,400.0,8778,2,1
90,0,0,3.700448817952717,0,65,2381,200.0,8778,2,1
91,0,0,3.2,9,40,1442,300.0,8778,2,1
92,0,0,2.6,283,27,1761,600.0,8778,2,1
93,0,0,3.3,62,8,2474,800.0,8778,2,1
94,0,0,3.8,64,78,1222,250.0,8778,2,1
95,0,0,3.7,39,27,2038,950.0,8778,2,1
96,0,0,3.7,65,78,1338,300.0,8778,2,1
97,1,0,3.8,71,40,1452,400.0,8778,2,1
98,0,0,3.5,52,78,2381,300.0,8778,2,1
99,0,0,3.7,130,78,2381,200.0,8778,2,1
100,0,0,3.5,10,78,2392,300.0,8778,2,1
101,0,0,3.8,45,92,254,400.0,8778,2,1
102,0,0,3.2,11,19,578,600.0,8778,2,1
103,0,0,3.5,13,0,263,300.0,8778,2,1
104,0,0,3.4,8,78,473,300.0,8778,2,1
105,0,0,3.700448817952717,0,92,330,250.0,8778,2,1
106,0,0,3.2,9,78,388,300.0,8778,2,1
107,0,0,3.2,4,78,1761,300.0,8778,2,1
108,0,0,3.1,29,78,1761,150.0,8778,2,1
109,0,0,3.4,8,0,263,400.0,8778,2,1
110,0,0,3.700448817952717,0,40,1686,150.0,8778,2,1
111,0,0,3.700448817952717,0,0,254,300.0,8778,2,1
112,0,0,3.700448817952717,0,78,2211,200.0,8778,2,1
113,0,0,3.700448817952717,0,92,2381,150.0,8778,2,1
114,0,0,3.700448817952717,0,40,1454,150.0,8778,2,1
115,0,0,3.700448817952717,0,78,1661,250.0,8778,2,1
116,0,0,3.1,30,8,880,1000.0,8778,2,1
117,1,0,4.1,201,78,2489,300.0,6003,2,1
118,0,0,3.3,7,78,1661,200.0,8778,2,1
119,0,0,3.1,6,78,1334,100.0,8778,2,1
120,0,0,3.3,17,78,2556,200.0,8778,2,1
121,0,0,2.9,25,40,1449,200.0,8778,2,1
122,0,0,3.700448817952717,0,39,2494,400.0,8778,2,1
123,0,0,3.700448817952717,0,78,428,350.0,8778,2,1
124,0,0,3.3,8,39,2381,100.0,8778,2,1
125,0,0,3.700448817952717,0,78,2296,150.0,8778,2,1
126,0,0,3.700448817952717,0,78,2381,150.0,8778,2,1
127,0,0,3.700448817952717,0,14,359,200.0,8778,2,1
128,0,0,3.700448817952717,0,17,350,150.0,8778,2,1
129,0,0,3.700448817952717,0,92,2381,400.0,8778,2,1
130,0,0,3.700448817952717,0,78,2410,150.0,8778,2,1
131,0,0,3.700448817952717,0,78,54,250.0,8778,2,1
132,0,0,3.700448817952717,0,78,388,250.0,8778,2,1
133,0,0,3.700448817952717,0,78,2392,150.0,8778,2,1
134,0,0,3.700448817952717,0,38,1153,200.0,8778,2,1
135,0,0,3.700448817952717,0,80,1407,350.0,8778,2,1
136,0,0,3.700448817952717,0,78,2392,300.0,8778,2,1
137,1,0,4.0,771,27,2474,450.0,7873,2,1
138,0,0,3.0,98,8,1834,800.0,8778,2,1
139,1,0,3.9,47,78,2381,200.0,4690,2,1
140,1,1,4.1,175,27,2476,500.0,4653,2,1
141,1,0,3.8,58,78,2425,300.0,6888,2,1
142,1,0,3.8,540,27,2053,650.0,8778,2,1
143,1,0,3.8,124,78,908,400.0,8778,2,1
144,1,0,4.1,340,92,2102,500.0,8778,2,1
145,1,0,3.8,505,78,535,450.0,8778,2,1
146,1,0,4.1,438,40,1180,500.0,8778,2,1
147,1,0,3.7,264,27,1860,750.0,8778,2,1
148,1,0,3.9,169,14,365,150.0,8778,2,1
149,1,0,3.0,67,78,1834,250.0,8778,2,1
150,1,0,3.7,97,78,2091,350.0,8778,2,1
151,1,0,3.3,12,92,388,300.0,8778,2,1
152,1,0,3.3,12,78,388,300.0,5169,2,1
153,1,0,3.6,195,27,934,800.0,8778,2,1
154,1,0,3.3,13,47,1185,300.0,8778,2,1
155,1,0,4.6,228,19,588,400.0,8778,2,1
156,1,0,4.1,70,78,2410,150.0,3010,2,1
157,1,1,4.1,364,27,2610,1200.0,8778,2,1
158,1,0,3.7,107,14,354,150.0,8778,2,1
159,1,0,3.2,167,78,2483,300.0,7263,2,1
160,1,0,4.0,115,88,1699,400.0,8778,2,1
161,1,0,3.7,27,92,1510,400.0,8778,2,1
162,1,0,3.5,57,78,388,200.0,8778,2,1
163,1,0,3.8,120,78,2024,250.0,8778,2,1
164,1,0,3.8,15,0,254,400.0,8778,2,1
165,1,0,4.2,64,78,2315,500.0,8778,2,1
166,1,0,3.6,66,78,2381,150.0,8778,2,1
167,1,0,3.0,290,78,1863,450.0,8778,2,1
168,1,0,4.1,233,78,2537,200.0,8778,2,1
169,1,0,3.8,115,78,1316,250.0,8778,2,1
170,1,0,3.1,119,27,391,700.0,8778,2,1
171,1,1,3.9,291,19,600,650.0,4783,2,1
172,1,0,4.5,155,14,375,300.0,8778,2,1
173,1,0,4.1,305,27,1467,700.0,8778,2,1
174,1,0,3.6,46,78,1288,500.0,8778,2,1
175,1,0,3.5,45,78,312,350.0,8778,2,1
176,1,0,3.9,38,40,1442,150.0,8778,2,1
177,1,0,3.9,441,78,2477,400.0,8778,2,1
178,1,0,3.9,25,78,2381,100.0,5481,2,1
179,1,0,4.3,630,78,2217,200.0,8778,2,1
180,1,0,3.8,25,78,2381,150.0,1246,2,1
181,1,0,3.9,160,78,119,300.0,8778,2,1
182,1,0,4.2,287,78,1761,350.0,8778,2,1
183,1,0,3.6,11,78,2381,100.0,251,2,1
184,1,0,4.1,402,19,557,500.0,8778,2,1
185,1,0,3.8,469,27,1856,750.0,8778,2,1
186,1,0,3.3,511,27,239,550.0,8778,2,1
187,1,0,3.9,57,78,2489,200.0,4738,2,1
188,1,0,3.4,14,78,2381,300.0,8778,2,1
189,1,0,3.9,264,78,2381,200.0,8778,2,1
190,1,0,3.0,62,19,700,400.0,8778,2,1
191,1,0,3.8,693,27,2252,750.0,8778,2,1
192,1,0,3.8,242,27,1654,650.0,8778,2,1
193,1,0,3.6,27,40,1215,250.0,8778,2,1
194,1,0,4.1,163,78,1050,500.0,8778,2,1
195,1,0,4.2,191,78,2556,250.0,6886,2,1
196,1,0,3.5,32,78,2269,150.0,8778,2,1
197,1,0,2.5,247,27,1761,500.0,8778,2,1
198,1,1,4.1,2339,27,1852,1500.0,8778,2,1
199,1,0,4.1,337,78,839,300.0,8778,2,1
200,1,0,3.9,135,27,1872,800.0,8778,2,1
201,1,0,3.6,172,27,1834,700.0,8778,2,1
202,1,0,3.6,105,27,2629,700.0,8778,2,1
203,1,0,4.2,504,19,744,550.0,8778,2,1
204,1,0,3.2,36,78,1338,200.0,8778,2,1
205,1,0,3.1,39,78,1761,300.0,8778,2,1
206,1,0,3.1,5,27,1863,500.0,8778,2,1
207,1,0,3.700448817952717,0,78,1834,300.0,8778,2,1
208,1,1,4.3,1129,27,1517,1300.0,8778,2,1
209,1,0,3.9,56,78,1834,350.0,8778,2,1
210,1,0,4.3,860,40,1178,500.0,8778,2,1
211,1,0,3.8,412,27,106,700.0,8778,2,1
212,1,1,3.9,142,27,1658,1000.0,8778,2,1
213,1,0,3.0,23,78,54,400.0,8778,2,1
214,1,0,3.6,143,27,2395,750.0,8778,2,1
215,1,1,2.8,80,27,2386,500.0,8778,2,1
216,1,0,3.6,16,27,2381,400.0,8778,2,1
217,1,0,4.4,181,14,382,250.0,8778,2,1
218,1,0,3.8,70,78,2211,200.0,8778,2,1
219,1,0,3.8,164,78,2256,600.0,8778,2,1
220,1,0,3.6,58,78,597,650.0,8778,2,1
221,0,0,3.8,148,29,1830,550.0,8778,2,1
222,0,0,3.9,206,78,2463,450.0,8778,2,1
223,0,0,3.700448817952717,0,0,263,300.0,8778,2,1
224,0,0,3.700448817952717,0,40,1442,200.0,8778,2,1
225,0,0,3.6,16,78,2381,300.0,8778,2,1
226,0,0,3.7,217,27,1956,450.0,8778,2,1
227,0,0,3.6,46,78,109,450.0,8778,2,1
228,0,0,3.8,148,78,1338,150.0,8778,2,1
229,0,0,3.4,30,40,1153,250.0,8778,2,1
230,0,0,3.6,8,27,2139,800.0,8778,2,1
231,0,0,3.3,4,78,2381,250.0,8778,2,1
232,0,0,3.5,15,6,254,400.0,8778,2,1
233,0,0,3.700448817952717,0,78,2381,100.0,8778,2,1
234,0,0,3.700448817952717,0,78,1834,300.0,8778,2,1
235,0,0,3.700448817952717,0,78,2157,200.0,8778,2,1
236,1,0,3.4,9,78,2537,200.0,8778,2,1
237,0,0,3.700448817952717,0,78,1857,350.0,8778,2,1
238,1,0,3.7,31,78,2469,300.0,239,2,1
239,1,0,2.9,177,27,1859,700.0,8778,2,1
240,1,0,3.7,22,88,1689,250.0,8778,2,1
241,1,0,3.5,10,14,1530,100.0,5214,2,1
242,1,0,3.7,136,78,2309,600.0,8778,2,1
243,1,0,2.9,35,78,1834,250.0,8778,2,1
244,1,0,4.1,185,78,1535,200.0,8778,2,1
245,1,0,3.2,17,19,685,900.0,8778,2,1
